"40 - Mayflower   "
05/09/2016 --   8:45 AM
6.7.57 
Informe PMIX - Todos Terminales
05/08/2016
Centro de Consumos Seleccionados: TODOS,


"","Articulo","","Num","Precio","","","","Comida","%",
"Rango","Num","Nombre de Articulo","Vendido","Vendido","Cantidad","Costo","Rentabilidad","Costo %","Ventas",
" "," "," "," "," "," "," "," "," "," ",
"  68","5402","L.AgrandPollo","1.00","0.88 ","0.88 ","0.00 ","0.88 ","0.00","0.05 ",
"  69","1008","G12oz X G22oz","1.00","0.88 ","0.88 ","0.00 ","0.88 ","0.00","0.05 ",
"  70","714","Tarrina Venta","1.00","0.31 ","0.31 ","0.00 ","0.31 ","0.00","0.03 ",
"  71","801","Caldo Jr.","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  72","401","Gallinas Vegeta","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  73","402","Lomo Vegetales","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  74","711","Porc. Arroz","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  75","715","1/2Chaulafan","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  76","504","Gallina Huozai","2.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  77","701","Agranda Lomo","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  78","310","Lomo Apanado","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  79","704","Porc. Champinon","5.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  80","713","Porc. PapaFrita","5.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  81","5610","Sauce Teriyaki","2.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  82","5611","Sauce Tausy","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  83","2006","Sprite","8.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  84","710","Porc. Tallarin","7.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  85","802","Caldo Gallina","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  86","502","Kung Pao Chicke","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  87","307","Camaron Apanado","3.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  88","604","Tay Pa","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  89","505","Gall5 Sab G12oz","10.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  90","2008","Naranja","5.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  91","2009","Fresa","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  92","103","RapiPollo Planc","7.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  93","308","Chaulafan Pollo","9.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  94","703","Agranda Camaron","2.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  95","702","Agranda Pollo","19.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  96","5612","Sauce Sweet May","1.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  97","5609","Sauce Ostion","2.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
